"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
71,179,"PHL","Philippines",71,"Southern Leyte","PH.SL",NA,"864","Lalawigan|Probinsya","Province","",""
72,179,"PHL","Philippines",72,"Sultan Kudarat","PH.SK",NA,"1265","Lalawigan|Probinsya","Province","",""
73,179,"PHL","Philippines",73,"Sulu","PH.SU",NA,"1566","Lalawigan|Probinsya","Province","",""
74,179,"PHL","Philippines",74,"Surigao del Norte","PH.SN",NA,"1667","Lalawigan|Probinsya","Province","",""
75,179,"PHL","Philippines",75,"Surigao del Sur","PH.SS",NA,"1668","Lalawigan|Probinsya","Province","",""
76,179,"PHL","Philippines",76,"Tarlac","PH.TR",NA,"369","Lalawigan|Probinsya","Province","",""
77,179,"PHL","Philippines",77,"Tawi-Tawi","PH.TT",NA,"1570","Lalawigan|Probinsya","Province","",""
78,179,"PHL","Philippines",78,"Zambales","PH.PN",NA,"155","Lalawigan|Probinsya","Province","",""
79,179,"PHL","Philippines",79,"Zamboanga del Norte","PH.ZN",NA,"972","Lalawigan|Probinsya","Province","",""
80,179,"PHL","Philippines",80,"Zamboanga del Sur","PH.ZS",NA,"973","Lalawigan|Probinsya","Province","",""
81,179,"PHL","Philippines",81,"Zamboanga Sibugay","PH.ZY",NA,"983","Lalawigan|Probinsya","Province","",""
