WP, 11, 2000072406,   , BEST,   0, 190N, 1231E,  20,    0, TD
WP, 11, 2000072412,   , BEST,   0, 201N, 1238E,  20,    0, TD
WP, 11, 2000072418,   , BEST,   0, 214N, 1246E,  25,    0, TD
WP, 11, 2000072500,   , BEST,   0, 230N, 1252E,  30,    0, TD
WP, 11, 2000072506,   , BEST,   0, 239N, 1254E,  30,    0, TD
WP, 11, 2000072512,   , BEST,   0, 245N, 1259E,  30,    0, TD
WP, 11, 2000072518,   , BEST,   0, 250N, 1267E,  30,    0, TD
WP, 11, 2000072600,   , BEST,   0, 254N, 1280E,  35,    0, TS
WP, 11, 2000072606,   , BEST,   0, 261N, 1290E,  40,    0, TS
WP, 11, 2000072612,   , BEST,   0, 263N, 1293E,  40,    0, TS
WP, 11, 2000072618,   , BEST,   0, 267N, 1297E,  45,    0, TS
WP, 11, 2000072700,   , BEST,   0, 270N, 1298E,  50,    0, TS
WP, 11, 2000072706,   , BEST,   0, 271N, 1297E,  50,    0, TS
WP, 11, 2000072712,   , BEST,   0, 271N, 1295E,  50,    0, TS
WP, 11, 2000072718,   , BEST,   0, 272N, 1293E,  50,    0, TS
WP, 11, 2000072800,   , BEST,   0, 274N, 1292E,  50,    0, TS
WP, 11, 2000072806,   , BEST,   0, 278N, 1290E,  50,    0, TS
WP, 11, 2000072812,   , BEST,   0, 281N, 1290E,  50,    0, TS
WP, 11, 2000072818,   , BEST,   0, 283N, 1289E,  50,    0, TS
WP, 11, 2000072900,   , BEST,   0, 285N, 1288E,  50,    0, TS
WP, 11, 2000072906,   , BEST,   0, 292N, 1286E,  50,    0, TS
WP, 11, 2000072912,   , BEST,   0, 299N, 1284E,  50,    0, TS
WP, 11, 2000072918,   , BEST,   0, 306N, 1285E,  50,    0, TS
WP, 11, 2000073000,   , BEST,   0, 315N, 1286E,  40,    0, TS
WP, 11, 2000073006,   , BEST,   0, 327N, 1287E,  35,    0, TS
WP, 11, 2000073012,   , BEST,   0, 338N, 1289E,  35,    0, TS
WP, 11, 2000073018,   , BEST,   0, 349N, 1292E,  35,    0, TS
WP, 11, 2000073100,   , BEST,   0, 360N, 1297E,  30,    0, TD
WP, 11, 2000073106,   , BEST,   0, 382N, 1311E,  30,    0, TD
